"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7108","testBoxTest()","","Tue Jul 01 04:58:53 GMT 2025","failed","Tue Jul 01 04:59:00 GMT 2025","","tests.demoqa.TestBoxWithDataTestBox","tests.demoqa.TestBoxWithDataTestBox","testBoxTest"
"","1177","dragAndDropTest()","","Tue Jul 01 04:59:05 GMT 2025","passed","Tue Jul 01 04:59:07 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","dragAndDropTest"
"","213","unsuccessfullBftLoginTest()","","Tue Jul 01 04:58:30 GMT 2025","broken","Tue Jul 01 04:58:30 GMT 2025","","tests.FirstLesson.LoginTests","tests.FirstLesson.LoginTests","unsuccessfullBftLoginTest"
"","1851","solntsevShouldBeTheTopContributor()","","Tue Jul 01 04:59:02 GMT 2025","passed","Tue Jul 01 04:59:04 GMT 2025","","tests.githubTests.firstLesson.BestContributorToSelenide","tests.githubTests.firstLesson.BestContributorToSelenide","solntsevShouldBeTheTopContributor"
"","1","zipParseTest()","","Tue Jul 01 04:59:23 GMT 2025","broken","Tue Jul 01 04:59:23 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","zipParseTest"
"","392","selenideUploadTests()","","Tue Jul 01 04:59:30 GMT 2025","passed","Tue Jul 01 04:59:31 GMT 2025","","tests.selenide_files_tests.SelenideFilesTests","tests.selenide_files_tests.SelenideFilesTests","selenideUploadTests"
"","1852","selenideDownloadTests()","","Tue Jul 01 04:59:28 GMT 2025","passed","Tue Jul 01 04:59:30 GMT 2025","","tests.selenide_files_tests.SelenideFilesTests","tests.selenide_files_tests.SelenideFilesTests","selenideDownloadTests"
"","1648","firstHomework()","","Tue Jul 01 04:59:04 GMT 2025","passed","Tue Jul 01 04:59:05 GMT 2025","","tests.githubTests.firstLesson.FirstHomework","tests.githubTests.firstLesson.FirstHomework","firstHomework"
"","7085","successfulLoginTest()","","Tue Jul 01 04:58:30 GMT 2025","failed","Tue Jul 01 04:58:37 GMT 2025","","tests.FirstLesson.LoginTests","tests.FirstLesson.LoginTests","successfulLoginTest"
"","57","jsonParseImprovedTest()","","Tue Jul 01 04:59:23 GMT 2025","passed","Tue Jul 01 04:59:23 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","jsonParseImprovedTest"
"","18","csvParseTest()","","Tue Jul 01 04:59:22 GMT 2025","passed","Tue Jul 01 04:59:22 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","csvParseTest"
"","503","jsonParseImprovedJacksonTest()","","Tue Jul 01 04:59:22 GMT 2025","passed","Tue Jul 01 04:59:22 GMT 2025","","tests.selenide_files_homework.FilesJacksonHomework","tests.selenide_files_homework.FilesJacksonHomework","jsonParseImprovedJacksonTest"
"","2275","lamdaStepTest()","","Tue Jul 01 04:58:41 GMT 2025","broken","Tue Jul 01 04:58:44 GMT 2025","","tests.allure_tests.StepTest","tests.allure_tests.StepTest","lamdaStepTest"
"","4","jsonParseTest()","","Tue Jul 01 04:59:23 GMT 2025","passed","Tue Jul 01 04:59:23 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","jsonParseTest"
"","5902","pdfParseTest()","","Tue Jul 01 04:59:23 GMT 2025","failed","Tue Jul 01 04:59:28 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","pdfParseTest"
"","2415","testAlfa()","","Tue Jul 01 04:58:27 GMT 2025","broken","Tue Jul 01 04:58:30 GMT 2025","","tests.FirstLesson.AlphaBankTests","tests.FirstLesson.AlphaBankTests","testAlfa"
"","2209","testBoxTest()","","Tue Jul 01 04:59:00 GMT 2025","passed","Tue Jul 01 04:59:02 GMT 2025","","tests.demoqa.TestBoxWithJavaFaker","tests.demoqa.TestBoxWithJavaFaker","testBoxTest"
"","6746","testBoxTest()","","Tue Jul 01 04:58:44 GMT 2025","passed","Tue Jul 01 04:58:50 GMT 2025","","tests.demoqa.HomeworkDemoQATests","tests.demoqa.HomeworkDemoQATests","testBoxTest"
"","863","successfulSearchTest()","","Tue Jul 01 04:58:37 GMT 2025","passed","Tue Jul 01 04:58:38 GMT 2025","","tests.FirstLesson.SearchTests","tests.FirstLesson.SearchTests","successfulSearchTest"
"","20","firstTest()","","Tue Jul 01 04:59:22 GMT 2025","passed","Tue Jul 01 04:59:22 GMT 2025","","tests.junit.FirstJunitTest","tests.junit.FirstJunitTest","firstTest"
"","1","staticLabelTest()","","Tue Jul 01 04:58:41 GMT 2025","passed","Tue Jul 01 04:58:41 GMT 2025","","tests.allure_tests.LabelsTests","tests.allure_tests.LabelsTests","staticLabelTest"
"","7394","githubSolutionsHoverTest()","","Tue Jul 01 04:59:07 GMT 2025","failed","Tue Jul 01 04:59:14 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","githubSolutionsHoverTest"
"","7756","shouldFindSelenideRepositoryAtTheTop()","","Tue Jul 01 04:59:14 GMT 2025","passed","Tue Jul 01 04:59:22 GMT 2025","","tests.githubTests.secondLesson.SelenideRepositorySearch","tests.githubTests.secondLesson.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop"
"","3270","lamdaStepTest()","","Tue Jul 01 04:58:38 GMT 2025","broken","Tue Jul 01 04:58:41 GMT 2025","","tests.allure_tests.AttachmentsSteps","tests.allure_tests.AttachmentsSteps","lamdaStepTest"
"","2170","testBoxTest()","","Tue Jul 01 04:58:50 GMT 2025","passed","Tue Jul 01 04:58:53 GMT 2025","","tests.demoqa.TestBoxTest","tests.demoqa.TestBoxTest","testBoxTest"
"","1","dynamicLabelTest()","","Tue Jul 01 04:58:41 GMT 2025","passed","Tue Jul 01 04:58:41 GMT 2025","","tests.allure_tests.LabelsTests","tests.allure_tests.LabelsTests","dynamicLabelTest"
"","158","dragAndDropDeprecatedTest()","","Tue Jul 01 04:59:07 GMT 2025","passed","Tue Jul 01 04:59:07 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","dragAndDropDeprecatedTest"
"","7","xlsParseTest()","","Tue Jul 01 04:59:28 GMT 2025","broken","Tue Jul 01 04:59:28 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","xlsParseTest"
"","66","StepsTest()","","Tue Jul 01 04:58:41 GMT 2025","passed","Tue Jul 01 04:58:41 GMT 2025","","tests.allure_tests.StepTest","tests.allure_tests.StepTest","StepsTest"
