"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1602","firstHomework()","","Tue Jul 01 05:07:36 GMT 2025","passed","Tue Jul 01 05:07:37 GMT 2025","","tests.githubTests.firstLesson.FirstHomework","tests.githubTests.firstLesson.FirstHomework","firstHomework"
"","687","successfulSearchTest()","","Tue Jul 01 05:07:02 GMT 2025","passed","Tue Jul 01 05:07:03 GMT 2025","","tests.FirstLesson.SearchTests","tests.FirstLesson.SearchTests","successfulSearchTest"
"","4601","testBoxTest()","","Tue Jul 01 05:07:29 GMT 2025","failed","Tue Jul 01 05:07:34 GMT 2025","","tests.demoqa.TestBoxWithJavaFaker","tests.demoqa.TestBoxWithJavaFaker","testBoxTest"
"","7609","githubSolutionsHoverTest()","","Tue Jul 01 05:07:39 GMT 2025","failed","Tue Jul 01 05:07:46 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","githubSolutionsHoverTest"
"","1825","selenideDownloadTests()","","Tue Jul 01 05:08:00 GMT 2025","passed","Tue Jul 01 05:08:02 GMT 2025","","tests.selenide_files_tests.SelenideFilesTests","tests.selenide_files_tests.SelenideFilesTests","selenideDownloadTests"
"","7789","shouldFindSelenideRepositoryAtTheTop()","","Tue Jul 01 05:07:46 GMT 2025","passed","Tue Jul 01 05:07:54 GMT 2025","","tests.githubTests.secondLesson.SelenideRepositorySearch","tests.githubTests.secondLesson.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop"
"","1867","solntsevShouldBeTheTopContributor()","","Tue Jul 01 05:07:34 GMT 2025","passed","Tue Jul 01 05:07:36 GMT 2025","","tests.githubTests.firstLesson.BestContributorToSelenide","tests.githubTests.firstLesson.BestContributorToSelenide","solntsevShouldBeTheTopContributor"
"","4412","testBoxTest()","","Tue Jul 01 05:07:25 GMT 2025","failed","Tue Jul 01 05:07:29 GMT 2025","","tests.demoqa.TestBoxWithDataTestBox","tests.demoqa.TestBoxWithDataTestBox","testBoxTest"
"","409","jsonParseImprovedJacksonTest()","","Tue Jul 01 05:07:54 GMT 2025","passed","Tue Jul 01 05:07:54 GMT 2025","","tests.selenide_files_homework.FilesJacksonHomework","tests.selenide_files_homework.FilesJacksonHomework","jsonParseImprovedJacksonTest"
"","5522","pdfParseTest()","","Tue Jul 01 05:07:55 GMT 2025","failed","Tue Jul 01 05:08:00 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","pdfParseTest"
